item_id,order_id,name,amount,added_at
1,941,Lego,332,2021-01-02 08:53:31
2,478,Plane,192,2021-01-20 02:49:03
3,2834,Plane,167,2021-01-30 08:20:55
4,3449,Helicopter,932,2021-01-29 19:54:54
5,2386,Plane,542,2021-01-29 03:11:23
6,4375,Bicycle,872,2021-01-29 14:25:29
7,479,Lego,520,2021-01-01 07:44:15
8,2342,Bicycle,721,2021-01-26 13:44:18
9,1060,Plane,883,2021-01-02 09:03:58
10,1854,Bicycle,979,2021-01-22 15:54:23
11,2325,Helicopter,912,2021-01-08 13:44:09
12,2545,Plane,125,2021-01-03 16:59:47
13,4999,Plane,681,2021-01-29 07:13:13
14,4772,Car,114,2021-01-22 22:44:05
15,4922,Plane,935,2021-01-13 07:23:36
16,3394,Train,681,2021-01-25 02:28:04
17,4526,Boat,389,2021-01-18 09:42:10
18,1070,Train,645,2021-01-21 01:01:42
19,3695,Car,690,2021-01-03 23:48:06
20,858,Bicycle,914,2021-01-26 23:21:18
21,1456,Train,71,2021-01-22 00:14:38
22,3487,Car,733,2021-01-21 18:52:18
23,3815,Boat,707,2021-01-06 07:50:30
24,1333,Lego,396,2021-01-14 21:08:25
25,2908,Plane,239,2021-01-06 01:39:33
26,4001,Boat,16,2021-01-03 23:29:45
27,4378,Boat,64,2021-01-23 02:40:42
28,3216,Car,813,2021-01-30 15:53:30
29,2110,Car,629,2021-01-26 10:45:15
30,4933,Train,517,2021-01-04 02:17:06
31,4905,Teddy bear,723,2021-01-13 23:35:19
32,2931,Train,819,2021-01-26 17:02:28
33,1099,Helicopter,882,2021-01-20 12:21:22
34,1720,Helicopter,957,2021-01-28 12:07:29
35,4871,Boat,391,2021-01-10 03:39:41
36,2585,Bicycle,571,2021-01-08 20:59:41
37,4366,Teddy bear,949,2021-01-25 20:51:23
38,4481,Car,668,2021-01-29 17:05:00
39,3198,Helicopter,165,2021-01-09 00:41:58
40,1475,Car,135,2021-01-05 11:44:31
41,363,Teddy bear,97,2021-01-19 06:12:54
42,2900,Bicycle,112,2021-01-21 01:21:13
43,2677,Lego,483,2021-01-19 03:51:19
44,4018,Helicopter,1000,2021-01-28 17:33:47
45,3136,Plane,456,2021-01-10 21:33:30
46,3137,Lego,706,2021-01-02 14:00:55
47,490,Plane,366,2021-01-30 05:00:09
48,4291,Bicycle,919,2021-01-22 21:44:12
49,398,Boat,378,2021-01-03 12:19:22
50,4892,Bicycle,901,2021-01-11 12:33:16
51,2556,Lego,52,2021-01-06 08:46:52
52,3788,Lego,207,2021-01-01 02:43:15
53,220,Plane,799,2021-01-24 08:45:29
54,1901,Boat,211,2021-01-24 13:30:08
55,3136,Train,880,2021-01-08 00:50:37
56,2316,Lego,284,2021-01-22 15:38:11
57,2345,Lego,188,2021-01-19 02:16:27
58,2179,Boat,782,2021-01-26 07:14:37
59,4379,Helicopter,285,2021-01-03 19:14:29
60,1075,Helicopter,624,2021-01-18 02:47:16
61,2332,Bicycle,912,2021-01-27 17:18:22
62,2195,Plane,786,2021-01-06 17:13:41
63,488,Train,632,2021-01-08 15:22:32
64,3922,Plane,660,2021-01-08 21:44:30
65,4888,Boat,494,2021-01-08 15:33:03
66,4206,Plane,207,2021-01-07 22:11:58
67,4221,Bicycle,258,2021-01-14 04:54:51
68,2868,Teddy bear,268,2021-01-22 17:37:28
69,3707,Train,840,2021-01-18 02:46:32
70,480,Teddy bear,193,2021-01-10 10:25:02
71,2687,Bicycle,392,2021-01-05 08:27:35
72,650,Train,851,2021-01-04 22:23:35
