id,customer_id,status,amount,created_at
1,49,pending,120,2021-01-10 10:58:40
2,53,delivered,151,2021-01-05 02:51:10
3,3,paid,139,2021-01-05 00:53:39
4,100,delivered,80,2021-01-03 21:08:11
5,25,paid,180,2021-01-02 01:59:37
6,25,paid,57,2021-01-09 17:10:02
7,20,paid,74,2021-01-08 11:11:14
8,70,paid,189,2021-01-05 14:59:38
9,34,delivered,169,2021-01-06 08:50:28
10,79,delivered,52,2021-01-05 00:31:47
11,35,paid,102,2021-01-04 12:45:30
12,77,pending,83,2021-01-06 14:52:53
13,13,pending,149,2021-01-08 14:12:46
14,60,delivered,132,2021-01-03 02:12:02
15,64,pending,54,2021-01-09 14:13:04
16,19,delivered,136,2021-01-09 18:33:45
17,94,paid,98,2021-01-10 16:21:50
18,42,paid,139,2021-01-07 20:27:40
19,17,delivered,93,2021-01-10 23:02:07
20,16,paid,147,2021-01-07 22:07:51
21,64,paid,109,2021-01-09 02:32:14
22,58,pending,61,2021-01-01 04:34:38
23,40,delivered,55,2021-01-07 18:21:38
24,33,paid,110,2021-01-08 20:51:04
25,28,paid,80,2021-01-01 07:20:51
26,20,pending,171,2021-01-10 13:31:03
27,38,paid,60,2021-01-10 08:51:51
28,15,paid,182,2021-01-07 23:00:06
29,27,pending,164,2021-01-08 13:47:27
30,6,pending,63,2021-01-05 14:42:22
31,4,pending,136,2021-01-06 05:22:19
32,3,paid,126,2021-01-09 18:29:36
33,72,pending,112,2021-01-10 15:43:31
34,30,delivered,171,2021-01-09 20:33:49
35,88,delivered,180,2021-01-03 06:16:16
36,1,delivered,184,2021-01-05 17:02:22
37,66,delivered,70,2021-01-08 14:07:42
38,14,paid,161,2021-01-06 00:48:10
39,17,delivered,135,2021-01-06 17:24:42
40,65,delivered,198,2021-01-04 01:59:21
41,69,delivered,141,2021-01-07 19:45:48
42,34,delivered,109,2021-01-01 21:38:20
43,62,pending,145,2021-01-06 10:13:48
44,98,pending,117,2021-01-03 04:13:06
45,38,pending,200,2021-01-10 10:20:12
46,39,delivered,172,2021-01-05 02:36:16
47,75,pending,83,2021-01-09 01:04:27
48,37,paid,106,2021-01-02 00:36:59
49,38,paid,145,2021-01-07 19:51:24
50,96,pending,64,2021-01-03 19:55:26
51,61,paid,190,2021-01-05 21:40:38
52,39,paid,98,2021-01-06 14:36:11
53,73,paid,146,2021-01-04 18:58:14
54,67,delivered,145,2021-01-04 11:10:49
55,63,delivered,68,2021-01-02 21:42:18
56,24,delivered,105,2021-01-05 20:22:55
57,91,delivered,92,2021-01-08 04:31:10
58,38,delivered,73,2021-01-10 18:45:42
59,3,paid,64,2021-01-07 15:43:19
60,44,paid,148,2021-01-06 17:06:17
61,56,delivered,140,2021-01-03 06:55:57
62,22,delivered,66,2021-01-05 10:17:02
63,15,delivered,120,2021-01-03 21:18:07
64,21,delivered,189,2021-01-08 22:43:54
65,69,pending,161,2021-01-01 10:36:28
66,35,delivered,56,2021-01-02 19:03:07
67,37,delivered,129,2021-01-02 13:07:37
68,82,delivered,134,2021-01-05 00:16:51
69,77,delivered,73,2021-01-07 23:34:10
70,13,delivered,121,2021-01-02 20:40:42
71,25,paid,187,2021-01-08 08:54:27
72,49,paid,118,2021-01-01 10:40:37
73,97,pending,177,2021-01-10 16:23:47
74,25,pending,83,2021-01-04 16:02:23
75,59,paid,57,2021-01-08 04:05:48
76,6,paid,170,2021-01-02 07:41:00
77,96,delivered,99,2021-01-09 18:48:39
78,95,pending,156,2021-01-03 00:20:49
79,26,delivered,117,2021-01-03 05:26:22
80,95,paid,194,2021-01-09 02:13:18
81,64,paid,128,2021-01-07 06:19:05
82,77,delivered,193,2021-01-03 03:28:53
83,2,delivered,196,2021-01-01 12:48:10
84,92,pending,105,2021-01-06 08:37:38
85,59,delivered,111,2021-01-08 09:24:40
86,29,paid,129,2021-01-10 14:23:56
87,7,pending,59,2021-01-07 02:55:10
88,39,pending,195,2021-01-10 02:18:35
89,77,pending,148,2021-01-02 03:03:42
90,49,delivered,59,2021-01-03 15:31:35
91,98,pending,185,2021-01-08 00:32:42
92,4,paid,80,2021-01-09 18:39:07
93,86,delivered,126,2021-01-06 10:31:02
94,71,pending,168,2021-01-09 01:36:11
95,36,delivered,67,2021-01-06 12:14:03
96,15,paid,110,2021-01-03 16:08:09
97,35,pending,133,2021-01-04 11:08:07
98,36,paid,125,2021-01-10 05:40:12
99,20,pending,187,2021-01-11 00:31:12
100,100,pending,121,2021-01-05 19:52:15
101,87,delivered,74,2021-01-01 20:02:17
102,11,pending,183,2021-01-02 15:57:45
103,95,delivered,115,2021-01-03 10:52:25
104,13,delivered,98,2021-01-03 13:19:20
105,34,delivered,55,2021-01-05 10:54:26
106,59,paid,155,2021-01-07 11:59:37
107,23,pending,140,2021-01-08 06:36:14
108,47,paid,150,2021-01-05 09:49:00
109,25,paid,123,2021-01-06 02:49:52
110,53,pending,110,2021-01-07 10:11:57
111,28,delivered,54,2021-01-01 01:45:28
112,43,delivered,169,2021-01-06 03:20:09
113,76,delivered,188,2021-01-09 12:39:53
114,44,delivered,119,2021-01-06 07:59:51
115,57,delivered,161,2021-01-02 07:32:54
116,33,paid,53,2021-01-03 03:03:19
117,55,paid,159,2021-01-04 04:35:50
118,71,pending,138,2021-01-09 17:05:37
119,52,delivered,57,2021-01-10 07:55:44
120,72,pending,61,2021-01-10 04:43:33
121,50,delivered,95,2021-01-02 21:27:10
122,14,paid,78,2021-01-01 19:03:11
123,8,pending,74,2021-01-03 11:07:22
124,72,paid,142,2021-01-04 06:43:40
125,13,pending,184,2021-01-08 18:56:14
126,51,paid,157,2021-01-06 11:10:35
127,97,delivered,147,2021-01-05 06:19:09
128,99,delivered,146,2021-01-09 05:54:37
129,90,pending,163,2021-01-04 21:01:47
130,84,delivered,109,2021-01-08 04:57:10
131,20,paid,161,2021-01-07 15:06:06
132,9,delivered,181,2021-01-05 04:48:13
133,85,pending,180,2021-01-04 14:19:55
134,39,paid,139,2021-01-06 03:57:08
135,56,pending,136,2021-01-05 01:46:14
136,35,delivered,147,2021-01-03 08:51:50
137,62,pending,91,2021-01-07 08:02:23
138,58,pending,67,2021-01-02 07:10:24
139,91,paid,99,2021-01-01 01:22:53
140,42,delivered,172,2021-01-01 16:23:43
141,32,delivered,136,2021-01-06 22:58:56
142,85,paid,123,2021-01-02 05:49:12
143,61,paid,198,2021-01-08 14:39:27
144,35,pending,181,2021-01-04 23:06:40
145,81,paid,66,2021-01-08 09:22:48
146,72,pending,178,2021-01-03 07:20:36
147,20,paid,119,2021-01-07 08:17:57
148,40,delivered,146,2021-01-10 21:36:20
149,69,paid,173,2021-01-07 03:55:03
150,68,paid,83,2021-01-06 16:26:20
151,95,paid,146,2021-01-05 09:46:37
152,79,paid,78,2021-01-02 09:34:40
153,75,pending,116,2021-01-08 18:01:05
154,87,paid,128,2021-01-03 15:33:39
155,14,paid,144,2021-01-07 11:02:15
156,41,pending,161,2021-01-03 21:16:58
157,54,paid,55,2021-01-03 12:43:57
158,79,delivered,199,2021-01-10 10:01:06
159,47,pending,151,2021-01-06 08:52:23
160,40,delivered,54,2021-01-04 23:39:38
161,49,paid,187,2021-01-05 07:58:21
162,61,pending,77,2021-01-04 12:20:49
163,41,pending,129,2021-01-07 22:53:15
164,78,delivered,67,2021-01-02 12:00:46
165,97,delivered,122,2021-01-06 14:53:28
166,51,pending,147,2021-01-07 18:09:39
167,31,paid,127,2021-01-09 15:15:44
168,88,delivered,64,2021-01-06 20:44:18
169,25,paid,163,2021-01-09 10:28:25
170,71,paid,89,2021-01-09 02:28:24
171,24,pending,151,2021-01-06 19:59:22
172,26,pending,121,2021-01-07 17:57:56
173,26,pending,134,2021-01-07 15:26:44
174,10,pending,200,2021-01-10 07:42:44
175,9,delivered,148,2021-01-01 09:52:19
176,83,paid,133,2021-01-10 09:40:04
177,96,paid,117,2021-01-07 20:47:35
178,34,pending,112,2021-01-04 22:49:52
179,58,paid,167,2021-01-04 16:20:21
180,93,delivered,143,2021-01-01 20:15:20
181,75,pending,177,2021-01-09 22:36:23
182,76,pending,66,2021-01-06 21:21:16
183,60,delivered,91,2021-01-08 16:05:37
184,100,delivered,72,2021-01-04 03:25:54
185,19,delivered,129,2021-01-05 12:54:34
186,99,pending,138,2021-01-10 08:16:46
187,7,paid,66,2021-01-05 13:22:18
188,77,delivered,115,2021-01-02 12:26:23
189,16,paid,125,2021-01-03 15:17:35
190,36,paid,126,2021-01-07 17:45:24
191,19,pending,78,2021-01-05 21:25:18
192,86,pending,120,2021-01-10 22:18:33
193,73,delivered,119,2021-01-03 22:47:38
194,29,delivered,140,2021-01-02 18:32:01
195,66,pending,181,2021-01-08 06:13:32
196,86,paid,157,2021-01-01 13:05:36
197,9,paid,80,2021-01-03 13:10:47
198,29,delivered,186,2021-01-10 08:23:55
199,78,pending,59,2021-01-02 02:11:02
200,23,delivered,95,2021-01-06 08:26:56
201,89,delivered,52,2021-01-08 06:40:13
202,63,delivered,117,2021-01-06 14:28:37
203,52,pending,168,2021-01-03 18:53:52
204,38,delivered,73,2021-01-02 15:19:06
205,1,delivered,112,2021-01-02 16:55:23
206,90,delivered,63,2021-01-04 13:52:19
207,57,pending,118,2021-01-10 19:20:08
208,76,pending,96,2021-01-01 16:03:57
209,57,pending,190,2021-01-10 05:55:11
210,42,pending,76,2021-01-06 22:27:47
211,1,paid,76,2021-01-06 18:53:46
212,99,delivered,171,2021-01-03 13:10:13
213,30,pending,188,2021-01-03 22:40:21
214,15,delivered,125,2021-01-02 01:20:51
215,46,delivered,155,2021-01-09 03:22:21
216,48,delivered,125,2021-01-01 12:20:51
217,75,paid,190,2021-01-08 16:09:02
218,65,delivered,152,2021-01-04 04:39:52
219,22,paid,85,2021-01-03 06:44:43
220,30,pending,66,2021-01-03 12:33:53
221,5,delivered,88,2021-01-04 07:16:17
222,85,delivered,129,2021-01-06 23:14:17
223,81,delivered,154,2021-01-09 20:40:00
224,30,delivered,70,2021-01-04 20:07:22
225,79,pending,96,2021-01-09 15:04:37
