Date,Open,High,Low,Close,Volume,AVG
2015-08-06,0.6747,3.0,0.6747,3.0,371,1.83735
2015-08-07,3.0,3.0,0.15,1.2,1438,1.8375
2015-08-08,1.2,1.2,1.2,1.2,0,1.2
2015-08-09,1.2,1.2,1.2,1.2,0,1.2
2015-08-10,1.2,1.2,0.6504,0.99,7419,1.0101
2015-08-11,0.99,1.29,0.905,1.29,2376,1.11875
2015-08-12,1.29,1.88,1.26,1.88,4923,1.5775
2015-08-13,1.88,2.1,1.79,1.79,11070,1.89
2015-08-14,1.79,1.79,1.5,1.79,14812,1.7175
2015-08-15,1.79,1.79,0.5,1.37,10794,1.3625
2015-08-16,1.37,1.59,1.25,1.3,6063,1.3775
2015-08-17,1.3,1.36,1.15,1.36,2867,1.2925
2015-08-18,1.36,1.36,0.99,1.24,4769,1.2375
2015-08-19,1.24,1.52,1.24,1.52,1771,1.38
2015-08-20,1.52,1.53,1.44,1.44,9197,1.4825
2015-08-21,1.44,1.44,1.4,1.4,321,1.42
2015-08-22,1.4,1.4,1.31,1.35,438,1.3649999999999998
2015-08-23,1.35,1.35,1.24,1.24,6460,1.2950000000000002
2015-08-24,1.24,1.28,1.22,1.27,1188,1.2525
2015-08-25,1.27,1.27,1.08,1.18,2337,1.2
2015-08-26,1.18,1.19,1.14,1.14,269,1.1625
2015-08-27,1.14,1.3,1.14,1.3,26922,1.22
2015-08-28,1.3,1.3,1.15,1.18,383,1.2325
2015-08-29,1.18,1.35,1.17,1.32,10975,1.255
2015-08-30,1.32,1.32,0.9,1.31,3959,1.2125
2015-08-31,1.31,1.38,1.31,1.36,1220,1.34
2015-09-01,1.36,1.37,1.14,1.14,698,1.2525
2015-09-02,1.14,1.33,1.14,1.23,3717,1.21
2015-09-03,1.28,1.4,1.28,1.35,18,1.3275
2015-09-04,1.23,1.37,1.23,1.37,10437,1.3
2015-09-05,1.37,1.39,1.34,1.34,145,1.36
2015-09-06,1.34,1.34,1.28,1.28,526,1.31
2015-09-07,1.28,1.28,1.26,1.26,103,1.27
2015-09-08,1.26,1.26,1.21,1.21,27,1.235
2015-09-09,1.21,1.21,1.12,1.19,3361,1.1825
2015-09-10,1.19,1.19,0.9242,0.9242,3066,1.0571
2015-09-11,0.9242,1.15,0.9242,1.15,513,1.0371
2015-09-12,1.15,1.15,0.8837,0.8856,3817,1.017325
2015-09-13,0.8856,0.9622,0.885,0.955,805,0.92195
2015-09-14,0.955,1.0,0.804,0.95,2273,0.92725
2015-09-15,0.95,0.9563,0.9363,0.9363,47,0.944725
2015-09-16,0.9363,0.9363,0.8238,0.875,129,0.89285
2015-09-17,0.875,0.88,0.8523,0.8523,593,0.8649
2015-09-18,0.8523,0.89,0.8013,0.89,3,0.8584
2015-09-19,0.89,0.89,0.88,0.8871,12,0.8867750000000001
2015-09-20,0.8871,0.95,0.8871,0.9412,171,0.91635
2015-09-21,0.9412,0.9412,0.8059,0.8059,175,0.8735499999999999
2015-09-22,0.8059,0.91,0.8059,0.91,13,0.85795
2015-09-23,0.91,0.91,0.8,0.8,568,0.855
2015-09-24,0.8,0.8,0.6823,0.6823,2184,0.7411500000000001
2015-09-25,0.6823,0.7703,0.6805,0.7703,58,0.7258499999999999
2015-09-26,0.7703,0.7703,0.7007,0.7008,10,0.735525
2015-09-27,0.7008,0.7047,0.6,0.6,3491,0.651375
2015-09-28,0.6,0.6816,0.5,0.6816,11590,0.6158
2015-09-29,0.6816,0.74,0.5046,0.7137,529,0.659975
2015-09-30,0.7137,0.7137,0.6545,0.6548,457,0.684175
2015-10-01,0.6548,0.6659999999999999,0.6548,0.6647,266,0.6600750000000001
2015-10-02,0.6647,0.6796,0.6647,0.6796,34,0.67215
2015-10-03,0.6796,0.6747,0.6095,0.6095,533,0.643325
2015-10-04,0.6095,0.6095,0.6078,0.6078,35,0.60865
2015-10-05,0.6078,0.6511,0.6091,0.6511,15,0.629775
2015-10-06,0.6511,0.611,0.6,0.6,1236,0.615525
2015-10-07,0.6,0.64,0.6,0.62,3673,0.615
2015-10-08,0.62,0.6352,0.5701,0.6352,1298,0.6151249999999999
